,Alloy,Condition,HV,Ref,Ref_sec,Keep_y_or_n,DOI,DOI_sec
151,Al0.133Co0.167Cr0.167Fe0.167Ni0.167Ti0.200,AC,856.9,8,224.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2019.07.100
152,Al0.133Fe0.267Ni0.267Cr0.267Ti0.067,PM,609.0,6,41.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.msea.2015.08.056
153,Al0.138Co0.172Cr0.172Cu0.172Fe0.172Ni0.172,AC,273.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
154,Al0.138Co0.172Cr0.172Cu0.172Fe0.172Ni0.172,AC,270.0,1,21.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1002/adem.200900171
155,Al0.138Co0.172Cr0.172Cu0.172Fe0.172Ni0.172,AC,271.0,1,32.0,y,https://doi.org/10.1016/j.dib.2018.11.111,10.3166/acsm.31.633-648
156,Al0.138Cr0.172Cu0.172Fe0.172Ni0.345,AC,315.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
157,Al0.139Co0.172Cr0.172Fe0.172Mn0.172Ni0.172,AC,539.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
158,Al0.143Co0.143Cr0.143Fe0.143Ni0.429,AC,242.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
159,Al0.143Co0.143Cu0.143Fe0.143Ni0.429,AC,279.6,8,263.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jmst.2018.12.014
160,Al0.143Co0.143Fe0.143Ni0.143Ti0.143V0.143Zr0.143,AC,790.0,1,27.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1002/adem.200300567
161,Al0.143Co0.286Fe0.286Ni0.286,AC,205.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
162,Al0.143Co0.286Fe0.286Ni0.286,AC,212.0,1,4.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jmmm.2014.07.023
163,Al0.143Co0.429Cu0.143Fe0.143Ni0.143,AC,166.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
164,Al0.143Fe0.286Ni0.286Cr0.286,PM,556.0,6,41.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.msea.2015.08.056
165,Al0.149Co0.213Cr0.213Fe0.213Ni0.213,AC,338.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
166,Al0.149Cr0.213Fe0.213Mn0.213Ni0.213,AC,375.0,8,99.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2019.04.104
167,Al0.150Co0.170Cr0.170Fe0.170Mn0.170Ni0.170,AC,533.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
168,Al0.150Co0.250Ni0.250Fe0.250Ti0.100,PM,712.0,6,46.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.msea.2012.12.072
169,Al0.150Co0.283Cr0.283Fe0.283,AC,655.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
170,Al0.153Cr0.169Cu0.169Fe0.169Ni0.339,AC,339.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
171,Al0.154Co0.154Cr0.154Cu0.077Fe0.154Ni0.308,AC,310.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
172,Al0.154Co0.154Cr0.154Cu0.077Fe0.308Ni0.154,AC,514.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
173,Al0.154Co0.154Cr0.154Fe0.154Mo0.077Ni0.308,AC,395.0,1,23.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.intermet.2012.09.008
174,Al0.154Co0.154Cr0.154Fe0.154Ni0.385,AC,265.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
175,Al0.154Co0.154Cr0.154Fe0.308Mo0.077Ni0.154,AC,639.0,1,22.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.wear.2009.10.013
176,Al0.154Co0.154Cr0.308Cu0.077Fe0.154Ni0.154,AC,607.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
177,Al0.154Co0.308Cr0.154Cu0.077Fe0.154Ni0.154,AC,295.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
178,Al0.154Co0.308Cr0.154Fe0.154Mo0.077Ni0.154,AC,586.0,1,21.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1002/adem.200900171
179,Al0.158Co0.211Cr0.211Fe0.211Ni0.211,AC,388.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
180,Al0.158Co0.211Cr0.211Fe0.211Ni0.211,HM,280.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
181,Al0.158Co0.211Cr0.211Fe0.211Ni0.211,WR,434.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
182,Al0.158Co0.211Cr0.211Fe0.211Ni0.211,AC,388.0,8,54.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2009.08.090
183,Al0.158Mo0.211Nb0.211Ti0.211V0.211,AC,517.0,1,54.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.3390/e16020870
184,Al0.160Co0.168Cr0.168Fe0.168Mn0.168Ni0.168,AC,535.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
185,Al0.167Co0.167Cr0.167Cu0.083Fe0.167Ni0.250,AC,358.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
186,Al0.167Co0.167Cr0.167Cu0.083Fe0.250Ni0.167,AC,537.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
187,Al0.167Co0.167Cr0.167Cu0.167Fe0.167Ni0.167,AC,407.0,1,32.0,n,https://doi.org/10.1016/j.dib.2018.11.111,10.3166/acsm.31.633-648
188,Al0.167Co0.167Cr0.167Cu0.167Fe0.167Ni0.167,AC,472.0,1,39.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2012.07.003
189,Al0.167Co0.167Cr0.167Cu0.167Fe0.167Ni0.167,AC,458.0,8,149.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.vacuum.2018.12.009
190,Al0.167Co0.167Cr0.167Fe0.167Mn0.167Ni0.167,PM,684.0,8,136.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2018.10.168
191,Al0.167Co0.167Cr0.167Fe0.167Mo0.083Ni0.250,AC,586.0,1,23.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.intermet.2012.09.008
192,Al0.167Co0.167Cr0.167Fe0.167Ni0.167Ti0.167,AC,703.0,8,224.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2019.07.100
193,Al0.167Co0.167Cr0.167Fe0.167Ni0.167V0.167,AC,648.0,6,208.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.jallcom.2013.12.210
194,Al0.167Co0.167Cr0.167Fe0.167Ni0.333,AC,335.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
195,Al0.167Co0.167Cr0.167Fe0.250Mo0.083Ni0.167,AC,635.0,1,22.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.wear.2009.10.013
196,Al0.167Co0.167Cr0.167Fe0.333Ni0.167,AC,510.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
197,Al0.167Co0.167Cr0.250Cu0.083Fe0.167Ni0.167,AC,601.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
198,Al0.167Co0.167Cr0.333Fe0.167Ni0.167,AC,617.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
199,Al0.167Co0.167Cu0.167Fe0.167Nd0.167Ni0.167,AC,578.0,1,39.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2012.07.003
200,Al0.167Co0.167Cu0.167Fe0.167Ni0.167Si0.167,AC,682.0,1,39.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2012.07.003
201,Al0.167Co0.167Cu0.167Fe0.167Ni0.167Ti0.167,AC,626.0,1,39.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2012.07.003
202,Al0.167Co0.167Cu0.167Fe0.167Ni0.167Zr0.167,AC,472.0,1,39.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2012.07.003
203,Al0.167Co0.167Cu0.167Fe0.167Ni0.333,AC,299.2,8,263.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jmst.2018.12.014
204,Al0.167Co0.185Cr0.185Fe0.185Ni0.185Ti0.093,AC,623.0,8,138.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matdes.2019.107698
205,Al0.167Co0.208Cr0.208Cu0.208Fe0.208,AC,271.0,8,20.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.3166/acsm.31.633-648
206,Al0.167Co0.208Cr0.208Fe0.208Ni0.208,AC,382.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
207,Al0.167Co0.250Cr0.167Cu0.083Fe0.167Ni0.167,AC,451.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
208,Al0.167Co0.250Cr0.167Fe0.167Mo0.083Ni0.167,AC,741.0,1,21.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1002/adem.200900171
209,Al0.167Co0.333Cr0.167Fe0.167Ni0.167,AC,532.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
210,Al0.167Co0.333Cu0.167Fe0.167Ni0.167,AC,249.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
211,Al0.167Cr0.167Cu0.167Fe0.167Ni0.333,AC,392.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
212,Al0.167Cr0.208Fe0.208Mn0.208Ni0.208,AC,386.0,8,99.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2019.04.104
213,Al0.167Fe0.167Ni0.167Ti0.167V0.167Zr0.167,AC,800.0,1,27.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1002/adem.200300567
214,Al0.167Hf0.167Nb0.167Ta0.167Ti0.167Zr0.167,AC,441.0,1,53.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2014.11.064
215,Al0.172Co0.172Cr0.172Fe0.172Ni0.172V0.138,AC,624.0,6,208.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.jallcom.2013.12.210
216,Al0.175Co0.075Cr0.250Fe0.250Ni0.250,PM,624.0,1,11.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.matdes.2013.04.061
217,Al0.179Co0.205Cr0.205Fe0.205Ni0.205,AC,538.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
218,Al0.179Co0.205Cr0.205Fe0.205Ni0.205,HM,361.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
219,Al0.179Co0.205Cr0.205Fe0.205Ni0.205,WR,497.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
220,Al0.179Co0.205Cr0.205Fe0.205Ni0.205,AC,538.0,8,54.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2009.08.090
221,Al0.180Co0.300Cr0.100Fe0.100Mo0.010Ni0.310,AC,357.3,8,114.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s00339-019-2506-z
222,Al0.180Co0.300Cr0.100Fe0.100Mo0.020Ni0.300,AC,362.6,8,114.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s00339-019-2506-z
223,Al0.180Co0.300Cr0.100Fe0.100Mo0.030Ni0.290,AC,359.7,8,114.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s00339-019-2506-z
224,Al0.180Co0.300Cr0.100Fe0.100Ni0.320,AC,305.4,8,114.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s00339-019-2506-z
225,Al0.182Co0.091Cr0.182Cu0.182Fe0.182Ni0.182,AC,473.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
226,Al0.182Co0.182Cr0.091Cu0.182Fe0.182Ni0.182,AC,367.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
227,Al0.182Co0.182Cr0.182Cu0.182Fe0.091Ni0.182,AC,418.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
228,Al0.182Co0.182Cr0.182Cu0.182Fe0.182Ni0.091,AC,423.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
229,Al0.182Co0.182Cr0.182Fe0.182Mo0.091Ni0.182,AC,715.0,1,8.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://link.springer.com/article/10.1007/s11837-013-0753-6
230,Al0.182Co0.182Cr0.182Fe0.182Mo0.091Ni0.182,AC,796.0,1,21.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1002/adem.200900171
231,Al0.182Co0.182Cr0.182Fe0.182Mo0.091Ni0.182,AC,730.0,1,23.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.intermet.2012.09.008
232,Al0.182Co0.182Cr0.182Fe0.182Mo0.091Ni0.182,AC,755.0,8,10.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.wear.2009.10.013
233,Al0.182Co0.182Cr0.182Fe0.182Nb0.091Ni0.182,AC,747.0,1,20.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2011.10.110
234,Al0.182Co0.182Cr0.182Fe0.182Ni0.182Ti0.091,AC,178.0,8,14.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1063/1.2734517
235,Al0.182Co0.182Cr0.182Fe0.182Ni0.182V0.091,AC,591.0,6,208.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.jallcom.2013.12.210
236,Al0.182Co0.182Cr0.182Fe0.182Ni0.273,AC,503.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
237,Al0.182Co0.182Cu0.182Fe0.182Ni0.273,AC,323.8,8,263.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jmst.2018.12.014
238,Al0.182Co0.273Cu0.182Fe0.182Ni0.182,AC,366.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
239,Al0.182Cr0.182Cu0.182Fe0.182Mn0.182W0.091,PM,780.0,8,108.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1557/jmr.2019.18
240,Al0.182Cr0.182Fe0.182Ni0.182Ti0.182Mn0.091,AC,539.5,5,,y,https://doi.org/10.1016/j.intermet.2018.07.017,
241,Al0.184Co0.204Cr0.204Fe0.204Ni0.204,AC,527.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
242,Al0.184Co0.204Cr0.204Fe0.204Ni0.204,AC,511.0,8,138.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matdes.2019.107698
243,Al0.185Cr0.185Cu0.185Fe0.185Ni0.259,AC,370.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
244,Al0.185Cr0.185Cu0.185Fe0.185Ni0.259,AC,367.0,1,45.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2011.11.063
245,Al0.185Cr0.185Cu0.185Fe0.185Ni0.259,AC,367.0,8,32.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2011.11.063
246,Al0.190Co0.190Cr0.190Fe0.190Nb0.048Ni0.190,AC,668.0,1,20.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2011.10.110
247,Al0.190Cr0.190Fe0.190Mo0.095Ni0.190Ti0.143,AC,766.2,8,264.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1088/0256-307X/35/3/036102
248,Al0.192Co0.192Cr0.192Fe0.192Ni0.192V0.038,AC,557.0,6,208.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.jallcom.2013.12.210
249,Al0.192Cr0.192Cu0.192Fe0.192Ni0.231,AC,408.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
250,Al0.192Cr0.192Cu0.192Fe0.192Ni0.231,AC,407.0,1,45.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2011.11.063
251,Al0.192Cr0.192Cu0.192Fe0.192Ni0.231,AC,407.0,8,32.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2011.11.063
252,Al0.194Cr0.161Cu0.161Fe0.161Ni0.323,AC,521.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
253,Al0.196Co0.196Cr0.196Fe0.118Mo0.098Ni0.196,AC,754.0,1,22.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.wear.2009.10.013
254,Al0.196Co0.196Cr0.196Fe0.196Nb0.020Ni0.196,AC,569.0,1,20.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2011.10.110
255,Al0.196Cr0.196Cu0.196Fe0.196Mn0.196W0.020,PM,705.0,8,108.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1557/jmr.2019.18
256,Al0.196Cr0.196Fe0.196Mo0.098Ni0.196Ti0.118,AC,756.1,8,264.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1088/0256-307X/35/3/036102
257,Al0.198Cr0.198Cu0.198Fe0.198Mn0.198W0.010,PM,680.0,8,108.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1557/jmr.2019.18
258,Al0.200Co0.100Cr0.200Cu0.100Fe0.200Ni0.200,AC,551.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
259,Al0.200Co0.100Cr0.200Fe0.200Mo0.100Ni0.200,AC,801.0,1,21.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1002/adem.200900171
260,Al0.200Co0.160Cr0.160Fe0.160Mn0.160Ni0.160,AC,539.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
261,Al0.200Co0.167Cr0.167Fe0.167Ni0.167Ti0.133,AC,639.6,8,224.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2019.07.100
262,Al0.200Co0.200Cr0.100Cu0.100Fe0.200Ni0.200,AC,546.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
263,Al0.200Co0.200Cr0.200Cu0.100Fe0.100Ni0.200,AC,586.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
264,Al0.200Co0.200Cr0.200Cu0.100Fe0.200Ni0.100,AC,604.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
265,Al0.200Co0.200Cr0.200Cu0.200Fe0.200,AC,407.0,8,20.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.3166/acsm.31.633-648
266,Al0.200Co0.200Cr0.200Cu0.200Ni0.200,AC,415.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
267,Al0.200Co0.200Cr0.200Fe0.100Mo0.100Ni0.200,AC,755.0,1,22.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.wear.2009.10.013
268,Al0.200Co0.200Cr0.200Fe0.200Mo0.100Ni0.100,AC,708.0,1,23.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.intermet.2012.09.008
269,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,516.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
270,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,484.0,1,7.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
271,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,HM,433.0,1,7.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2009.08.090
272,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,395.0,1,13.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2008.07.124
273,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,520.0,1,20.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2011.10.110
274,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,534.0,6,208.0,n,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.jallcom.2013.12.210
275,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,484.0,8,54.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2009.08.090
276,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,519.0,8,215.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matchar.2019.03.006
277,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,493.0,8,215.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matchar.2019.03.006
278,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,PM,550.0,8,243.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matchar.2019.05.022
279,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,PM,510.0,8,243.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matchar.2019.05.022
280,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,PM,503.0,8,243.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matchar.2019.05.022
281,Al0.200Co0.200Cr0.200Fe0.200Ni0.200,AC,500.0,8,255.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.intermet.2012.03.005
282,Al0.200Co0.200Cu0.200Fe0.200Ni0.200,AC,536.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
283,Al0.200Co0.200Cu0.200Fe0.200Ni0.200,AC,391.4,8,263.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jmst.2018.12.014
284,Al0.200Co0.200Fe0.200Ni0.200Ti0.200,PM,667.0,8,209.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2019.02.083
285,Al0.200Co0.267Cr0.267Fe0.267,AC,695.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
286,Al0.200Co0.267Fe0.267Ni0.267,AC,380.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
287,Al0.200Co0.267Fe0.267Ni0.267,AC,385.0,1,4.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jmmm.2014.07.023
288,Al0.200Cr0.200Cu0.200Fe0.200Mn0.200,PM,633.0,8,108.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1557/jmr.2019.18
289,Al0.200Cr0.200Cu0.200Fe0.200Ni0.200,AC,479.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
290,Al0.200Cr0.200Cu0.200Fe0.200Ni0.200,AC,342.0,1,13.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2008.07.124
291,Al0.200Cr0.200Cu0.200Fe0.200Ni0.200,AC,495.0,1,45.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2011.11.063
292,Al0.200Cr0.200Cu0.200Fe0.200Ni0.200,HM,495.0,8,32.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2011.11.063
293,Al0.200Cr0.200Cu0.200Fe0.200Ni0.200,PM,434.0,8,210.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2019.01.341
294,Al0.200Cr0.200Cu0.200Fe0.200Ni0.200,PM,666.0,8,210.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2019.01.341
295,Al0.200Cr0.200Cu0.200Fe0.200Ni0.200,PM,761.0,8,210.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2019.01.341
296,Al0.200Cr0.200Cu0.200Fe0.200Ni0.200,PM,747.0,8,210.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2019.01.341
297,Al0.200Cr0.200Fe0.200Mo0.100Ni0.200Ti0.100,AC,751.7,8,264.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1088/0256-307X/35/3/036102
298,Al0.200Cr0.200Fe0.200Mo0.200Ni0.200,AC,905.0,8,19.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2013.03.253
299,Al0.200Cr0.200Fe0.200Ni0.200Mo0.200,AC,905.0,1,31.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2013.03.253
300,Al0.200Cr0.200Fe0.200Ni0.200Ti0.200,AC,616.0,5,,y,https://doi.org/10.1016/j.intermet.2018.07.017,
301,Al0.200Cu0.200Fe0.200Ni0.200Ti0.200,AC,516.0,1,48.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.apsusc.2015.07.207
302,Al0.200Li0.200Mg0.100Sc0.200Ti0.300,PM,591.0,1,50.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1080/21663831.2014.985855
303,Al0.200Li0.200Mg0.100Sc0.200Ti0.300,,591.0,8,38.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1080/21663831.2014.985855
304,Al0.200Mo0.100Nb0.200Ta0.100Ti0.200Zr0.200,AC,591.0,1,52.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11837-014-1066-0
305,Al0.200Mo0.100Nb0.200Ta0.100Ti0.200Zr0.200,OTHER,591.0,8,39.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11837-014-1066-0
306,Al0.200Mo0.200Nb0.200Ti0.200V0.200,AC,537.0,1,54.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.3390/e16020870
307,Al0.200Nb0.300Ta0.100Ti0.300Zr0.100,AC,408.0,1,52.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11837-014-1066-0
308,Al0.200Nb0.300Ta0.100Ti0.300Zr0.100,OTHER,408.0,8,39.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11837-014-1066-0
309,Al0.200Ni0.200Fe0.200Cr0.200Co0.200,PM,570.0,6,45.0,n,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.jallcom.2015.04.238
310,Al0.200Ni0.200Fe0.200Cr0.200Co0.200,PM,594.0,6,45.0,y,https://doi.org/10.1080/00325899.2019.1584454,https://doi.org/10.1016/j.jallcom.2015.04.238
311,Al0.204Cr0.204Fe0.204Mo0.102Ni0.204Ti0.082,AC,731.9,8,264.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1088/0256-307X/35/3/036102
