,Alloy,Condition,HV,Ref,Ref_sec,Keep_y_or_n,DOI,DOI_sec
35,Al0.068Co0.227Cr0.227Fe0.227Mo0.023Ni0.227,,200.0,8,258.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2010.02.032
36,Al0.069Co0.137Cr0.137Cu0.137Fe0.137Ni0.137Ti0.246,AC,667.0,8,24.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.2320/matertrans.47.1395
37,Al0.069Co0.137Cr0.137Cu0.137Fe0.137Ni0.137V0.246,AC,597.0,8,25.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11661-006-0081-3
38,Al0.070Co0.141Cr0.141Cu0.141Fe0.141Ni0.141Ti0.225,AC,657.0,1,37.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
39,Al0.070Co0.141Cr0.141Cu0.141Fe0.141Ni0.141V0.225,AC,594.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
40,Al0.070Co0.233Cr0.233Cu0.233Fe0.233,AC,180.0,8,20.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.3166/acsm.31.633-648
41,Al0.070Co0.233Cr0.233Fe0.233Ni0.233,AC,117.0,8,138.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.matdes.2019.107698
42,Al0.070Co0.233Cr0.233Fe0.233Ni0.233,AC,132.0,8,213.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1088/2053-1591/ab0597
43,Al0.070Co0.233Cr0.233Fe0.233Ni0.233,AC,147.0,8,213.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1088/2053-1591/ab0597
44,Al0.070Co0.233Cr0.233Fe0.233Ni0.233,AC,165.0,8,213.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1088/2053-1591/ab0597
45,Al0.070Co0.233Cr0.233Fe0.233Ni0.233,,160.0,8,258.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2010.02.032
46,Al0.070Cr0.233Fe0.233Ni0.465,AC,149.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
47,Al0.070Cr0.233Fe0.349Mn0.233Ni0.116,AC,297.0,1,30.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.msea.2010.05.052
48,Al0.071Co0.186Cr0.186Fe0.186Mn0.186Ni0.186,AC,182.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
49,Al0.072Co0.145Cr0.145Cu0.145Fe0.145Ni0.145Ti0.203,AC,664.0,1,37.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
50,Al0.072Co0.145Cr0.145Cu0.145Fe0.145Ni0.145V0.203,AC,577.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
51,Al0.074Cr0.185Cu0.185Fe0.185Ni0.370,AC,200.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
52,Al0.075Co0.149Cr0.149Cu0.149Fe0.149Ni0.149Ti0.179,AC,646.0,1,37.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.2320/matertrans.47.1395
53,Al0.075Co0.149Cr0.149Cu0.149Fe0.149Ni0.149V0.179,AC,579.0,1,38.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11661-006-0081-3
